Collab_ID,Brand_ID,Creator_ID,Campaign_Start,Campaign_End,Budget_Spent,Impressions,Clicks,CTR,Conversions,CVR,is_success
CB_00001,BR_00085,CR_YT_088,2025-06-23,2025-09-21,27300000,152157,1917,1.26,19,1.01,N
CB_00002,BR_00017,CR_TK_107,2024-07-13,2024-08-12,500000,2225,50,2.27,1,2.0,Y
CB_00003,BR_00082,CR_YT_126,2024-02-17,2024-05-17,17400000,60232,1313,2.18,13,1.02,N
CB_00005,BR_00027,CR_TK_073,2024-03-24,2024-05-23,2700000,2917,48,1.67,0,1.86,N
CB_00006,BR_00083,CR_TK_085,2025-06-05,2025-07-05,5800000,11298,258,2.29,4,1.81,Y
CB_00007,BR_00089,CR_YT_248,2025-05-21,2025-07-20,12600000,1627040,76145,4.68,1934,2.54,Y
CB_00008,BR_00005,CR_YT_107,2024-08-12,2024-09-11,3000000,5113,95,1.87,1,1.99,Y
CB_00009,BR_00049,CR_YT_293,2024-06-09,2024-07-09,1500000,74417,2984,4.01,45,1.53,N
CB_00010,BR_00067,CR_YT_181,2024-08-23,2024-11-21,4700000,580104,13632,2.35,283,2.08,Y
CB_00011,BR_00056,CR_YT_210,2025-01-11,2025-03-12,900000,2297586,39518,1.72,521,1.32,Y
CB_00012,BR_00083,CR_YT_039,2025-01-02,2025-01-16,4400000,3082,98,3.19,0,0.77,N
CB_00013,BR_00036,CR_TK_175,2024-08-21,2024-09-04,900000,6258,199,3.18,3,1.67,N
CB_00014,BR_00087,CR_YT_169,2024-09-13,2024-10-13,26300000,16282,713,4.38,8,1.17,Y
CB_00015,BR_00078,CR_YT_071,2025-07-10,2025-08-09,6900000,4657,199,4.29,6,3.24,Y
CB_00016,BR_00052,CR_TK_185,2025-02-19,2025-05-20,3600000,30016,1086,3.62,43,3.96,Y
CB_00017,BR_00020,CR_TK_144,2025-02-11,2025-03-13,1300000,5476,158,2.9,3,2.31,Y
CB_00018,BR_00071,CR_TK_088,2025-04-24,2025-06-23,3100000,172077,7536,4.38,150,2.0,Y
CB_00019,BR_00090,CR_YT_214,2024-08-02,2024-10-01,16600000,58836,1470,2.5,37,2.52,Y
CB_00020,BR_00017,CR_YT_157,2024-01-10,2024-03-10,600000,621496,14667,2.36,288,1.97,Y
CB_00021,BR_00088,CR_TK_086,2025-02-17,2025-05-18,7700000,14152,462,3.27,2,0.61,N
CB_00022,BR_00018,CR_YT_079,2024-12-04,2025-03-04,400000,5721371,196243,3.43,6927,3.53,Y
CB_00024,BR_00058,CR_TK_028,2024-11-07,2024-11-21,1700000,2798,47,1.71,1,3.39,Y
CB_00025,BR_00078,CR_YT_251,2024-01-28,2024-02-27,10700000,1068643,27143,2.54,331,1.22,N
CB_00026,BR_00038,CR_TK_038,2025-06-20,2025-07-04,2100000,29836,310,1.04,5,1.64,N
CB_00027,BR_00053,CR_YT_201,2024-06-09,2024-06-23,1300000,554469,22012,3.97,409,1.86,Y
CB_00028,BR_00027,CR_YT_067,2024-07-29,2024-08-28,1900000,12556,364,2.9,9,2.61,Y
CB_00029,BR_00040,CR_TK_001,2024-07-26,2024-10-24,3500000,17685,320,1.81,12,3.97,Y
CB_00030,BR_00058,CR_YT_033,2025-02-12,2025-05-13,3900000,1412,65,4.64,2,3.58,Y
CB_00031,BR_00059,CR_YT_237,2025-08-12,2025-08-26,1500000,39174,1770,4.52,37,2.1,N
CB_00032,BR_00090,CR_TK_132,2024-10-31,2024-12-30,20000000,12861,218,1.7,2,1.37,N
CB_00033,BR_00080,CR_TK_076,2025-03-18,2025-05-17,18400000,1073713,40693,3.79,337,0.83,N
CB_00034,BR_00090,CR_TK_185,2024-02-14,2024-03-15,25800000,39102,1771,4.53,42,2.38,Y
CB_00035,BR_00086,CR_TK_170,2024-03-09,2024-04-08,24900000,1346,54,4.05,0,0.92,N
CB_00036,BR_00048,CR_YT_040,2024-04-17,2024-07-16,3100000,1083,30,2.8,0,1.38,N
CB_00037,BR_00065,CR_YT_023,2025-04-18,2025-05-02,5300000,15030,601,4.0,10,1.83,N
CB_00038,BR_00096,CR_YT_205,2024-07-18,2024-09-16,17300000,62092,2384,3.84,23,0.98,N
CB_00039,BR_00086,CR_TK_084,2025-04-20,2025-06-19,15900000,96967,3519,3.63,105,3.0,Y
