Brand_ID,Creator_ID,category_score,context_score,cf_score,matching_score,recommendation_grade
BR_00001,CR_YT_003,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_005,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_006,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_009,1.0,0.25,0.6,0.615,D
BR_00001,CR_YT_010,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_015,1.0,0.75,0.0,0.875,B
BR_00001,CR_YT_023,1.0,0.75,0.0,0.875,B
BR_00001,CR_YT_029,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_031,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_036,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_039,1.0,0.75,0.0,0.875,B
BR_00001,CR_YT_040,1.0,0.75,0.0,0.875,B
BR_00001,CR_YT_048,1.0,0.75,0.0,0.875,B
BR_00001,CR_YT_057,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_058,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_060,1.0,0.75,0.0,0.875,B
BR_00001,CR_YT_062,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_068,1.0,0.75,0.0,0.875,B
BR_00001,CR_YT_073,1.0,0.75,0.0,0.875,B
BR_00001,CR_YT_077,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_079,1.0,0.75,0.0,0.875,B
BR_00001,CR_YT_090,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_091,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_092,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_099,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_102,1.0,0.75,0.0,0.875,B
BR_00001,CR_YT_107,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_108,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_110,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_118,1.0,0.5,0.92,0.818,B
BR_00001,CR_YT_123,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_127,1.0,0.75,0.0,0.875,B
BR_00001,CR_YT_133,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_136,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_137,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_139,1.0,0.75,0.0,0.875,B
BR_00001,CR_YT_148,1.0,0.5,0.86,0.794,C
BR_00001,CR_YT_151,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_157,1.0,0.5,0.62,0.698,D
BR_00001,CR_YT_158,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_163,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_170,1.0,0.75,0.0,0.875,B
BR_00001,CR_YT_179,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_187,1.0,0.75,0.0,0.875,B
BR_00001,CR_YT_189,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_203,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_207,1.0,0.75,0.0,0.875,B
BR_00001,CR_YT_208,1.0,0.75,0.0,0.875,B
BR_00001,CR_YT_210,1.0,0.75,0.0,0.875,B
BR_00001,CR_YT_215,1.0,0.75,0.0,0.875,B
BR_00001,CR_YT_216,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_217,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_223,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_226,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_234,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_237,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_243,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_256,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_257,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_260,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_264,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_269,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_273,1.0,0.75,0.0,0.875,B
BR_00001,CR_YT_274,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_275,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_276,1.0,0.75,0.0,0.875,B
BR_00001,CR_YT_283,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_288,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_297,1.0,0.5,0.0,0.75,C
BR_00001,CR_YT_300,1.0,0.75,0.0,0.875,B
BR_00001,CR_TK_001,1.0,0.5,0.0,0.75,C
BR_00001,CR_TK_009,1.0,0.5,0.0,0.75,C
BR_00001,CR_TK_016,1.0,0.75,0.0,0.875,B
BR_00001,CR_TK_022,1.0,0.5,0.0,0.75,C
BR_00001,CR_TK_024,1.0,0.75,0.0,0.875,B
BR_00001,CR_TK_027,1.0,0.5,0.0,0.75,C
BR_00001,CR_TK_028,1.0,0.5,0.0,0.75,C
