Creator_ID,Channel_Name,Handle,Platform,Category,Content_Type,Country,Followers,Avg_Views,Monthly_Views,Engagement_Rate,Nox_Score,Target_Age,Target_Gender,Estimated_CPM,Upload_Per_Month,Views_Trend_6M,Last_Upload_Date,Controversy_Flag,Ad_Content_Ratio,Risk_Score,Creator_Tier,Collab_Type_Pref,Created_At
CR_YT_001,뷰티퀸001,@yt_뷰티퀸001,YouTube,푸드,레시피,Korea,42098,9152,45760,8.28,4.7,18-34,Mixed,2200.0,14,상승,2025-11-08,없음,18,5.0,마이크로,먹방협찬,2025-05-23
CR_YT_002,뷰티퀸002,@yt_뷰티퀸002,YouTube,교육,스터디,Korea,95181,54823,548230,3.04,3.8,25-44,Mixed,7600.0,1,상승,2026-04-28,없음,26,3.7,마이크로,제품리뷰,2025-05-23
CR_YT_003,라이프브이로거003,@yt_라이프브이로거003,YouTube,라이프스타일,인테리어,Korea,498382,61070,549630,7.44,4.4,25-44,Female,7000.0,18,상승,2026-02-05,없음,40,4.2,마이크로,제품리뷰,2025-05-23
CR_YT_004,언박서004,@yt_언박서004,YouTube,교육,스터디,Korea,19116,1612,11284,9.39,5.0,25-44,Mixed,7900.0,4,유지,2026-01-11,없음,45,3.9,마이크로,제품리뷰,2025-05-23
CR_YT_005,언박서005,@yt_언박서005,YouTube,피트니스,운동루틴,Korea,379946,218987,1094935,7.51,2.5,18-34,Mixed,7000.0,6,유지,2026-02-06,없음,45,3.9,마이크로,PPL,2025-05-23
CR_YT_006,먹방킹006,@yt_먹방킹006,YouTube,피트니스,영양,Korea,133659,87384,873840,3.58,2.6,18-34,Mixed,8600.0,23,상승,2025-12-25,없음,30,4.7,마이크로,챌린지,2025-05-23
CR_YT_007,댄스스타007,@yt_댄스스타007,YouTube,패션,OOTD,Korea,688637,312801,3128010,10.82,3.2,18-34,Female,3100.0,5,유지,2026-03-07,없음,8,4.7,마이크로,PPL,2025-05-23
CR_YT_008,레시피북008,@yt_레시피북008,YouTube,테크,비교영상,Korea,60432,20318,223498,6.58,4.9,25-44,Male,8000.0,1,하락,2026-05-04,없음,39,2.0,마이크로,브랜디드,2025-05-23
CR_YT_009,홈쿡009,@yt_홈쿡009,YouTube,피트니스,운동루틴,Korea,265840,103755,830040,11.68,4.3,18-34,Mixed,5300.0,4,하락,2026-01-16,확인필요,43,1.5,마이크로,챌린지,2025-05-23
CR_YT_010,게임마스터010,@yt_게임마스터010,YouTube,피트니스,홈트,Korea,79514,58750,528750,6.12,2.3,18-34,Mixed,4200.0,10,상승,2025-11-15,없음,41,4.2,마이크로,챌린지,2025-05-23
CR_YT_011,테크리뷰011,@yt_테크리뷰011,YouTube,여행,명소소개,Korea,9727,6073,36438,8.09,4.8,25-44,Mixed,2700.0,17,유지,2026-02-17,없음,39,3.9,나노,브랜디드,2025-05-23
CR_YT_012,GRWM크리에이터012,@yt_grwm크리에이터012,YouTube,패션,하울,Korea,7118,2694,32328,5.69,2.7,18-34,Female,2000.0,1,유지,2026-03-22,없음,42,2.9,나노,PPL,2025-05-23
CR_YT_013,먹방킹013,@yt_먹방킹013,YouTube,푸드,쿡방,Korea,132938,92355,461775,6.41,2.8,18-34,Mixed,5100.0,18,상승,2026-05-05,없음,41,4.2,마이크로,제품리뷰,2025-05-23
CR_YT_014,레시피북014,@yt_레시피북014,YouTube,여행,숙박리뷰,Korea,201639,109739,987651,5.37,3.4,25-44,Mixed,7000.0,22,하락,2026-04-15,없음,8,3.8,마이크로,브랜디드,2025-05-23
CR_YT_015,홈쿡015,@yt_홈쿡015,YouTube,피트니스,홈트,Korea,299448,135414,812484,5.35,2.8,18-34,Mixed,3400.0,3,유지,2026-05-26,없음,11,4.2,마이크로,PPL,2025-05-23
CR_YT_016,뷰티퀸016,@yt_뷰티퀸016,YouTube,게임,업적,Korea,4872,851,9361,6.04,4.6,13-24,Male,8300.0,6,유지,2025-11-01,없음,21,4.7,나노,PPL,2025-05-23
CR_YT_017,테크몽017,@yt_테크몽017,YouTube,엔터테인먼트,개그,Korea,73788,12256,98048,3.0,2.2,13-24,Mixed,7000.0,2,하락,2026-01-20,없음,8,3.3,마이크로,브랜디드,2025-05-23
CR_YT_018,게임마스터018,@yt_게임마스터018,YouTube,게임,공략,Korea,3129987,344560,2067360,1.29,2.2,13-24,Male,8000.0,13,상승,2026-03-26,없음,42,4.2,매크로,브랜디드,2025-05-23
CR_YT_019,레시피북019,@yt_레시피북019,YouTube,푸드,맛집투어,Korea,84085,37172,297376,2.85,4.1,18-34,Mixed,3300.0,13,상승,2026-04-21,없음,34,4.7,마이크로,제품리뷰,2025-05-23
CR_YT_020,IT리뷰어020,@yt_it리뷰어020,YouTube,뷰티,GRWM,Korea,83792,66788,333940,6.68,3.5,18-34,Female,2500.0,12,상승,2026-01-02,없음,23,5.0,마이크로,튜토리얼리뷰,2025-05-23
CR_YT_021,교육튜터021,@yt_교육튜터021,YouTube,게임,리뷰,Korea,95717,42757,513084,3.94,4.0,13-24,Male,8500.0,5,상승,2025-11-30,없음,40,4.2,마이크로,PPL,2025-05-23
CR_YT_022,맛집탐방가022,@yt_맛집탐방가022,YouTube,패션,OOTD,Korea,459536,93147,745176,6.31,2.8,18-34,Female,8300.0,2,상승,2026-04-12,없음,22,4.5,마이크로,PPL,2025-05-23
CR_YT_023,댄스스타023,@yt_댄스스타023,YouTube,피트니스,다이어트,Korea,44335,7589,83479,6.84,3.3,18-34,Mixed,1600.0,3,하락,2025-12-09,없음,7,3.3,마이크로,PPL,2025-05-23
CR_YT_024,댄스스타024,@yt_댄스스타024,YouTube,게임,리뷰,Korea,15482,4353,17412,10.84,2.6,13-24,Male,3400.0,4,상승,2026-05-19,없음,31,4.7,마이크로,제품리뷰,2025-05-23
CR_YT_025,게임마스터025,@yt_게임마스터025,YouTube,테크,팁강의,Korea,1406,259,2331,9.5,3.2,25-44,Male,6500.0,24,상승,2026-01-08,없음,11,5.0,나노,언박싱리뷰,2025-05-23
CR_YT_026,패션피플026,@yt_패션피플026,YouTube,여행,숙박리뷰,Korea,582662,181932,1273524,3.06,4.0,25-44,Mixed,4500.0,9,상승,2026-05-17,없음,27,4.7,마이크로,브랜디드,2025-05-23
CR_YT_027,라이프브이로거027,@yt_라이프브이로거027,YouTube,게임,업적,Korea,2889,2044,16352,2.55,4.9,13-24,Male,3500.0,4,유지,2026-02-20,없음,25,4.7,나노,브랜디드,2025-05-23
CR_YT_029,맛집탐방가029,@yt_맛집탐방가029,YouTube,피트니스,영양,Korea,989208,141920,1135360,6.33,4.0,18-34,Mixed,3900.0,23,상승,2026-03-22,없음,17,5.0,마이크로,PPL,2025-05-23
CR_YT_030,게임마스터030,@yt_게임마스터030,YouTube,엔터테인먼트,개그,Korea,49446,17531,70124,3.99,2.6,13-24,Mixed,7400.0,20,하락,2026-01-22,없음,33,3.5,마이크로,브랜디드,2025-05-23
CR_YT_031,뷰티랩031,@yt_뷰티랩031,YouTube,라이프스타일,홈투어,Korea,32241,17543,140344,6.43,3.9,25-44,Female,4000.0,25,상승,2026-04-22,없음,19,5.0,마이크로,일상PPL,2025-05-23
CR_YT_032,먹방킹032,@yt_먹방킹032,YouTube,뷰티,GRWM,Korea,598216,304166,1520830,5.74,4.7,18-34,Female,5800.0,23,하락,2026-02-07,없음,30,3.5,마이크로,GRWM협찬,2025-05-23
CR_YT_033,홈쿡033,@yt_홈쿡033,YouTube,뷰티,리뷰,Korea,4585,834,10008,5.84,3.7,18-34,Female,8400.0,4,유지,2025-12-05,없음,38,3.9,나노,튜토리얼리뷰,2025-05-23
CR_YT_034,뷰티랩034,@yt_뷰티랩034,YouTube,교육,요약,Korea,81810,31450,188700,9.05,3.4,25-44,Mixed,3400.0,8,하락,2026-01-10,확인필요,36,1.5,마이크로,브랜디드,2025-05-23
CR_YT_035,테크리뷰035,@yt_테크리뷰035,YouTube,여행,숙박리뷰,Korea,40735,10337,93033,10.77,2.2,25-44,Mixed,2600.0,13,하락,2025-12-10,없음,9,3.8,마이크로,PPL,2025-05-23
CR_YT_036,테크몽036,@yt_테크몽036,YouTube,피트니스,다이어트,Korea,18161,3725,37250,4.98,4.3,18-34,Mixed,8600.0,1,유지,2026-02-06,없음,5,3.7,마이크로,제품리뷰,2025-05-23
CR_YT_037,레시피북037,@yt_레시피북037,YouTube,엔터테인먼트,개그,Korea,81582,53020,371140,6.11,2.8,13-24,Mixed,5100.0,13,상승,2026-04-21,없음,15,5.0,마이크로,PPL,2025-05-23
CR_YT_038,테크몽038,@yt_테크몽038,YouTube,교육,요약,Korea,2652640,1310190,5240760,1.47,3.3,25-44,Mixed,8000.0,6,상승,2026-01-06,없음,25,5.0,매크로,브랜디드,2025-05-23
CR_YT_039,라이프브이로거039,@yt_라이프브이로거039,YouTube,피트니스,홈트,Korea,7211,1865,18650,3.4,2.2,18-34,Mixed,1600.0,18,상승,2026-01-29,없음,9,5.0,나노,챌린지,2025-05-23
CR_YT_040,여행러040,@yt_여행러040,YouTube,라이프스타일,일상브이로그,Korea,3496,800,8800,8.2,3.7,25-44,Female,3100.0,23,상승,2026-05-16,없음,15,5.0,나노,일상PPL,2025-05-23
CR_YT_041,홈쿡041,@yt_홈쿡041,YouTube,패션,OOTD,Korea,50888,24520,245200,5.06,4.1,18-34,Female,2100.0,23,하락,2026-01-02,없음,24,3.8,마이크로,하울,2025-05-23
CR_YT_042,언박서042,@yt_언박서042,YouTube,뷰티,언박싱,Korea,96706,31712,380544,7.95,2.0,18-34,Female,4600.0,16,상승,2026-02-19,없음,45,4.2,마이크로,브랜디드,2025-05-23
