Rating_ID,Collab_ID,Brand_ID,Creator_ID,Score,Review_Text,Rated_At
RT_00001,CB_00001,BR_00085,CR_YT_088,4.3,"참여율 양호, 다음 캠페인 고려 중",2025-10-05
RT_00002,CB_00002,BR_00017,CR_TK_107,5.0,"전환율 기대 이상, 강력 추천",2024-08-22
RT_00003,CB_00003,BR_00082,CR_YT_126,3.0,기대 대비 전환 소폭 미흡,2024-05-29
RT_00005,CB_00005,BR_00027,CR_TK_073,3.3,일정 지연 있었으나 결과물 양호,2024-06-03
RT_00006,CB_00006,BR_00083,CR_TK_085,4.6,"브랜드 톤 완벽 일치, 콘텐츠 퀄리티 탁월",2025-07-13
RT_00007,CB_00007,BR_00089,CR_YT_248,2.8,기대 대비 전환 소폭 미흡,2025-08-02
RT_00008,CB_00008,BR_00005,CR_YT_107,3.8,"참여율 양호, 다음 캠페인 고려 중",2024-09-22
RT_00009,CB_00009,BR_00049,CR_YT_293,4.4,"참여율 양호, 다음 캠페인 고려 중",2024-07-12
RT_00010,CB_00010,BR_00067,CR_YT_181,4.6,"타깃 참여율 우수, 재협업 의향 있음",2024-11-28
RT_00011,CB_00011,BR_00056,CR_YT_210,4.4,"전반적 만족, 일정 준수 양호",2025-03-26
RT_00012,CB_00012,BR_00083,CR_YT_039,3.5,"참여율 양호, 다음 캠페인 고려 중",2025-01-21
RT_00013,CB_00013,BR_00036,CR_TK_175,3.2,일정 지연 있었으나 결과물 양호,2024-09-08
RT_00014,CB_00014,BR_00087,CR_YT_169,4.7,"전환율 기대 이상, 강력 추천",2024-10-17
RT_00015,CB_00015,BR_00078,CR_YT_071,3.9,"콘텐츠 퀄리티 준수, 소통 원활",2025-08-16
RT_00016,CB_00016,BR_00052,CR_TK_185,3.6,"전반적 만족, 일정 준수 양호",2025-05-27
RT_00017,CB_00017,BR_00020,CR_TK_144,4.3,"콘텐츠 퀄리티 준수, 소통 원활",2025-03-17
RT_00018,CB_00018,BR_00071,CR_TK_088,5.0,"브랜드 톤 완벽 일치, 콘텐츠 퀄리티 탁월",2025-07-05
RT_00019,CB_00019,BR_00090,CR_YT_214,4.1,"전반적 만족, 일정 준수 양호",2024-10-09
RT_00020,CB_00020,BR_00017,CR_YT_157,3.1,일정 지연 있었으나 결과물 양호,2024-03-18
RT_00021,CB_00021,BR_00088,CR_TK_086,3.7,"전반적 만족, 일정 준수 양호",2025-05-23
RT_00022,CB_00022,BR_00018,CR_YT_079,4.0,"콘텐츠 퀄리티 준수, 소통 원활",2025-03-08
RT_00024,CB_00024,BR_00058,CR_TK_028,4.3,"콘텐츠 퀄리티 준수, 소통 원활",2024-12-02
RT_00025,CB_00025,BR_00078,CR_YT_251,5.0,"타깃 참여율 우수, 재협업 의향 있음",2024-03-12
RT_00026,CB_00026,BR_00038,CR_TK_038,3.8,"콘텐츠 퀄리티 준수, 소통 원활",2025-07-18
RT_00027,CB_00027,BR_00053,CR_YT_201,4.3,"콘텐츠 퀄리티 준수, 소통 원활",2024-07-06
RT_00028,CB_00028,BR_00027,CR_YT_067,4.0,"참여율 양호, 다음 캠페인 고려 중",2024-08-31
RT_00029,CB_00029,BR_00040,CR_TK_001,4.1,"참여율 양호, 다음 캠페인 고려 중",2024-10-28
RT_00030,CB_00030,BR_00058,CR_YT_033,4.1,"참여율 양호, 다음 캠페인 고려 중",2025-05-27
RT_00031,CB_00031,BR_00059,CR_YT_237,2.9,기대 대비 전환 소폭 미흡,2025-08-30
RT_00032,CB_00032,BR_00090,CR_TK_132,4.2,"콘텐츠 퀄리티 준수, 소통 원활",2025-01-02
RT_00033,CB_00033,BR_00080,CR_TK_076,3.1,일정 지연 있었으나 결과물 양호,2025-05-20
RT_00034,CB_00034,BR_00090,CR_TK_185,3.7,"참여율 양호, 다음 캠페인 고려 중",2024-03-24
RT_00035,CB_00035,BR_00086,CR_TK_170,4.4,"참여율 양호, 다음 캠페인 고려 중",2024-04-13
RT_00036,CB_00036,BR_00048,CR_YT_040,4.6,"브랜드 톤 완벽 일치, 콘텐츠 퀄리티 탁월",2024-07-22
RT_00037,CB_00037,BR_00065,CR_YT_023,2.6,기대 대비 전환 소폭 미흡,2025-05-07
RT_00038,CB_00038,BR_00096,CR_YT_205,5.0,"브랜드 톤 완벽 일치, 콘텐츠 퀄리티 탁월",2024-09-30
RT_00039,CB_00039,BR_00086,CR_TK_084,4.7,"브랜드 톤 완벽 일치, 콘텐츠 퀄리티 탁월",2025-06-22
RT_00040,CB_00040,BR_00057,CR_YT_072,4.0,"콘텐츠 퀄리티 준수, 소통 원활",2025-06-10
RT_00041,CB_00041,BR_00038,CR_YT_064,4.3,"콘텐츠 퀄리티 준수, 소통 원활",2025-09-12
RT_00042,CB_00042,BR_00057,CR_YT_184,5.0,"전환율 기대 이상, 강력 추천",2024-08-03
RT_00043,CB_00043,BR_00007,CR_TK_129,4.5,"전환율 기대 이상, 강력 추천",2026-01-22
RT_00044,CB_00044,BR_00040,CR_YT_228,4.3,"전반적 만족, 일정 준수 양호",2024-06-02
RT_00045,CB_00045,BR_00048,CR_TK_166,3.8,"전반적 만족, 일정 준수 양호",2024-10-10
RT_00046,CB_00046,BR_00025,CR_TK_049,2.9,타깃 일치도 보통,2024-04-13
RT_00047,CB_00047,BR_00093,CR_YT_086,3.7,"콘텐츠 퀄리티 준수, 소통 원활",2024-04-22
RT_00048,CB_00048,BR_00080,CR_YT_107,3.9,"참여율 양호, 다음 캠페인 고려 중",2025-09-18
RT_00049,CB_00049,BR_00023,CR_YT_008,3.0,타깃 일치도 보통,2025-03-24
RT_00050,CB_00050,BR_00036,CR_TK_033,2.6,타깃 일치도 보통,2025-11-03
RT_00051,CB_00051,BR_00064,CR_YT_053,4.2,"참여율 양호, 다음 캠페인 고려 중",2025-10-14
RT_00052,CB_00052,BR_00090,CR_YT_199,4.0,"전반적 만족, 일정 준수 양호",2024-06-19
RT_00053,CB_00053,BR_00086,CR_YT_247,4.2,"전반적 만족, 일정 준수 양호",2024-04-23
RT_00054,CB_00054,BR_00095,CR_YT_120,4.0,"전반적 만족, 일정 준수 양호",2025-09-09
RT_00055,CB_00055,BR_00016,CR_YT_159,3.2,타깃 일치도 보통,2024-11-10
RT_00057,CB_00057,BR_00057,CR_TK_079,4.1,"전반적 만족, 일정 준수 양호",2025-01-07
RT_00058,CB_00058,BR_00054,CR_TK_032,4.9,"브랜드 톤 완벽 일치, 콘텐츠 퀄리티 탁월",2024-11-08
RT_00059,CB_00059,BR_00007,CR_TK_165,3.8,"콘텐츠 퀄리티 준수, 소통 원활",2024-10-20
RT_00060,CB_00060,BR_00001,CR_YT_034,1.7,"타깃 불일치, 전환율 저조",2025-06-08
RT_00061,CB_00061,BR_00017,CR_YT_047,4.7,"브랜드 톤 완벽 일치, 콘텐츠 퀄리티 탁월",2024-09-27
RT_00062,CB_00062,BR_00055,CR_TK_072,4.1,"콘텐츠 퀄리티 준수, 소통 원활",2025-05-27
RT_00063,CB_00063,BR_00039,CR_YT_147,4.3,"전반적 만족, 일정 준수 양호",2025-10-21
RT_00064,CB_00064,BR_00047,CR_YT_204,2.7,기대 대비 전환 소폭 미흡,2025-03-02
RT_00065,CB_00065,BR_00020,CR_TK_120,3.3,타깃 일치도 보통,2025-06-04
RT_00066,CB_00066,BR_00039,CR_TK_005,4.7,"전환율 기대 이상, 강력 추천",2025-08-11
RT_00067,CB_00067,BR_00037,CR_YT_193,4.6,"전환율 기대 이상, 강력 추천",2025-11-09
RT_00068,CB_00068,BR_00025,CR_YT_003,4.3,"참여율 양호, 다음 캠페인 고려 중",2024-04-23
RT_00069,CB_00069,BR_00051,CR_TK_197,4.3,"콘텐츠 퀄리티 준수, 소통 원활",2025-03-23
RT_00071,CB_00071,BR_00099,CR_TK_168,4.2,"콘텐츠 퀄리티 준수, 소통 원활",2025-03-28
RT_00072,CB_00072,BR_00050,CR_TK_175,3.5,"참여율 양호, 다음 캠페인 고려 중",2025-04-18
RT_00073,CB_00073,BR_00087,CR_YT_015,2.9,기대 대비 전환 소폭 미흡,2025-11-30
RT_00074,CB_00074,BR_00078,CR_YT_297,2.5,기대 대비 전환 소폭 미흡,2024-07-01
RT_00075,CB_00075,BR_00091,CR_TK_001,4.8,"브랜드 톤 완벽 일치, 콘텐츠 퀄리티 탁월",2024-06-28
RT_00076,CB_00076,BR_00089,CR_YT_155,3.2,기대 대비 전환 소폭 미흡,2025-09-01
RT_00077,CB_00077,BR_00094,CR_TK_146,3.9,"참여율 양호, 다음 캠페인 고려 중",2024-04-20
RT_00078,CB_00078,BR_00096,CR_YT_108,3.9,"전반적 만족, 일정 준수 양호",2025-03-23
RT_00079,CB_00079,BR_00100,CR_TK_057,4.1,"콘텐츠 퀄리티 준수, 소통 원활",2025-06-05
RT_00080,CB_00080,BR_00024,CR_TK_061,4.5,"전환율 기대 이상, 강력 추천",2024-06-23
RT_00081,CB_00081,BR_00028,CR_YT_096,4.3,"참여율 양호, 다음 캠페인 고려 중",2024-08-13
RT_00082,CB_00082,BR_00053,CR_YT_226,3.9,"참여율 양호, 다음 캠페인 고려 중",2026-01-11
RT_00083,CB_00083,BR_00016,CR_YT_142,5.0,"전환율 기대 이상, 강력 추천",2024-04-10
RT_00084,CB_00084,BR_00002,CR_YT_032,3.9,"참여율 양호, 다음 캠페인 고려 중",2024-10-18
RT_00085,CB_00085,BR_00001,CR_YT_193,3.0,기대 대비 전환 소폭 미흡,2025-12-21
RT_00086,CB_00086,BR_00044,CR_TK_010,4.5,"타깃 참여율 우수, 재협업 의향 있음",2025-04-25
RT_00087,CB_00087,BR_00047,CR_TK_041,3.4,기대 대비 전환 소폭 미흡,2025-04-17
RT_00088,CB_00088,BR_00001,CR_YT_234,4.2,"참여율 양호, 다음 캠페인 고려 중",2025-03-28
RT_00089,CB_00089,BR_00097,CR_TK_118,3.3,기대 대비 전환 소폭 미흡,2024-10-18
RT_00090,CB_00090,BR_00085,CR_YT_097,5.0,"브랜드 톤 완벽 일치, 콘텐츠 퀄리티 탁월",2024-02-10
RT_00091,CB_00091,BR_00042,CR_TK_048,3.9,"전반적 만족, 일정 준수 양호",2025-05-03
RT_00092,CB_00092,BR_00055,CR_TK_181,4.8,"타깃 참여율 우수, 재협업 의향 있음",2025-05-22
RT_00093,CB_00093,BR_00067,CR_TK_149,4.7,"전환율 기대 이상, 강력 추천",2025-11-12
RT_00094,CB_00094,BR_00071,CR_TK_148,5.0,"브랜드 톤 완벽 일치, 콘텐츠 퀄리티 탁월",2025-06-03
RT_00095,CB_00095,BR_00032,CR_YT_109,4.5,"브랜드 톤 완벽 일치, 콘텐츠 퀄리티 탁월",2024-07-18
RT_00096,CB_00096,BR_00042,CR_TK_163,5.0,"브랜드 톤 완벽 일치, 콘텐츠 퀄리티 탁월",2025-03-08
RT_00097,CB_00097,BR_00016,CR_TK_041,4.1,"전반적 만족, 일정 준수 양호",2024-08-22
RT_00098,CB_00098,BR_00029,CR_TK_178,4.2,"참여율 양호, 다음 캠페인 고려 중",2025-11-24
RT_00099,CB_00099,BR_00093,CR_YT_196,4.2,"참여율 양호, 다음 캠페인 고려 중",2026-02-10
RT_00100,CB_00100,BR_00038,CR_YT_045,3.8,"참여율 양호, 다음 캠페인 고려 중",2024-05-14
RT_00101,CB_00101,BR_00074,CR_YT_189,4.1,"콘텐츠 퀄리티 준수, 소통 원활",2024-06-16
RT_00102,CB_00102,BR_00069,CR_YT_098,4.4,"참여율 양호, 다음 캠페인 고려 중",2025-04-09
RT_00103,CB_00103,BR_00067,CR_TK_040,3.8,"참여율 양호, 다음 캠페인 고려 중",2025-12-19
RT_00104,CB_00104,BR_00019,CR_TK_118,3.2,일정 지연 있었으나 결과물 양호,2024-12-12
RT_00105,CB_00105,BR_00086,CR_TK_135,5.0,"브랜드 톤 완벽 일치, 콘텐츠 퀄리티 탁월",2024-05-17
RT_00106,CB_00106,BR_00091,CR_YT_294,4.2,"전반적 만족, 일정 준수 양호",2025-06-12
RT_00107,CB_00107,BR_00043,CR_YT_079,3.9,"전반적 만족, 일정 준수 양호",2024-09-08
RT_00108,CB_00108,BR_00063,CR_TK_073,3.6,"참여율 양호, 다음 캠페인 고려 중",2025-03-15
RT_00109,CB_00109,BR_00071,CR_YT_201,4.2,"전반적 만족, 일정 준수 양호",2025-02-20
RT_00110,CB_00110,BR_00068,CR_TK_073,3.6,"전반적 만족, 일정 준수 양호",2024-11-24
RT_00111,CB_00111,BR_00017,CR_YT_166,4.7,"타깃 참여율 우수, 재협업 의향 있음",2025-09-14
RT_00113,CB_00113,BR_00084,CR_YT_005,2.9,기대 대비 전환 소폭 미흡,2025-04-11
RT_00114,CB_00114,BR_00055,CR_TK_048,3.5,"콘텐츠 퀄리티 준수, 소통 원활",2024-07-19
RT_00115,CB_00115,BR_00066,CR_TK_033,2.3,광고 비율 과다로 팔로워 반응 낮음,2025-03-23
RT_00116,CB_00116,BR_00016,CR_YT_124,3.6,"전반적 만족, 일정 준수 양호",2025-04-17
RT_00117,CB_00117,BR_00100,CR_TK_055,5.0,"타깃 참여율 우수, 재협업 의향 있음",2024-06-08
RT_00118,CB_00118,BR_00048,CR_YT_006,3.2,일정 지연 있었으나 결과물 양호,2024-05-19
RT_00119,CB_00119,BR_00003,CR_TK_001,5.0,"전환율 기대 이상, 강력 추천",2025-11-11
RT_00120,CB_00120,BR_00050,CR_YT_248,4.2,"콘텐츠 퀄리티 준수, 소통 원활",2026-01-02
RT_00121,CB_00121,BR_00069,CR_YT_095,5.0,"타깃 참여율 우수, 재협업 의향 있음",2025-03-09
RT_00122,CB_00122,BR_00009,CR_YT_266,3.5,"전반적 만족, 일정 준수 양호",2025-12-01
RT_00123,CB_00123,BR_00085,CR_TK_160,2.2,CPM 대비 성과 미흡,2024-06-11
RT_00124,CB_00124,BR_00041,CR_YT_063,3.8,"콘텐츠 퀄리티 준수, 소통 원활",2024-03-17
RT_00125,CB_00125,BR_00097,CR_YT_018,2.7,타깃 일치도 보통,2024-04-17
RT_00126,CB_00126,BR_00085,CR_YT_001,4.9,"브랜드 톤 완벽 일치, 콘텐츠 퀄리티 탁월",2024-10-25
RT_00127,CB_00127,BR_00069,CR_YT_228,4.2,"참여율 양호, 다음 캠페인 고려 중",2024-08-27
RT_00128,CB_00128,BR_00078,CR_YT_276,4.5,"전환율 기대 이상, 강력 추천",2025-07-10
RT_00129,CB_00129,BR_00019,CR_YT_154,3.6,"콘텐츠 퀄리티 준수, 소통 원활",2024-09-13
RT_00130,CB_00130,BR_00080,CR_YT_217,4.3,"참여율 양호, 다음 캠페인 고려 중",2024-06-18
RT_00131,CB_00131,BR_00011,CR_TK_184,4.2,"참여율 양호, 다음 캠페인 고려 중",2024-11-24
RT_00132,CB_00132,BR_00035,CR_TK_025,4.5,"브랜드 톤 완벽 일치, 콘텐츠 퀄리티 탁월",2025-12-06
RT_00133,CB_00133,BR_00021,CR_YT_215,3.6,"콘텐츠 퀄리티 준수, 소통 원활",2024-07-10
RT_00134,CB_00134,BR_00010,CR_YT_139,4.5,"브랜드 톤 완벽 일치, 콘텐츠 퀄리티 탁월",2024-08-08
RT_00135,CB_00135,BR_00047,CR_TK_166,3.9,"전반적 만족, 일정 준수 양호",2025-01-11
RT_00136,CB_00136,BR_00029,CR_YT_194,5.0,"타깃 참여율 우수, 재협업 의향 있음",2024-05-15
RT_00137,CB_00137,BR_00063,CR_YT_049,3.2,기대 대비 전환 소폭 미흡,2025-07-31
RT_00138,CB_00138,BR_00007,CR_YT_088,4.6,"타깃 참여율 우수, 재협업 의향 있음",2025-01-25
RT_00139,CB_00139,BR_00071,CR_TK_005,3.9,"전반적 만족, 일정 준수 양호",2025-04-30
RT_00140,CB_00140,BR_00085,CR_YT_065,3.8,"콘텐츠 퀄리티 준수, 소통 원활",2024-07-30
RT_00141,CB_00141,BR_00048,CR_TK_063,3.4,타깃 일치도 보통,2024-12-25
RT_00142,CB_00142,BR_00060,CR_YT_258,2.3,광고 비율 과다로 팔로워 반응 낮음,2024-11-26
RT_00143,CB_00143,BR_00030,CR_YT_157,4.3,"참여율 양호, 다음 캠페인 고려 중",2025-10-31
RT_00144,CB_00144,BR_00011,CR_YT_040,4.8,"타깃 참여율 우수, 재협업 의향 있음",2024-09-26
RT_00145,CB_00145,BR_00064,CR_TK_114,2.9,기대 대비 전환 소폭 미흡,2024-03-19
RT_00146,CB_00146,BR_00088,CR_TK_047,3.8,"전반적 만족, 일정 준수 양호",2025-07-26
RT_00147,CB_00147,BR_00092,CR_YT_218,4.3,"참여율 양호, 다음 캠페인 고려 중",2025-08-04
RT_00148,CB_00148,BR_00068,CR_TK_051,3.6,"전반적 만족, 일정 준수 양호",2025-10-05
RT_00149,CB_00149,BR_00068,CR_TK_163,3.9,"참여율 양호, 다음 캠페인 고려 중",2024-09-21
RT_00150,CB_00150,BR_00055,CR_YT_254,2.5,타깃 일치도 보통,2025-02-27
RT_00151,CB_00151,BR_00070,CR_TK_136,3.9,"콘텐츠 퀄리티 준수, 소통 원활",2024-06-13
RT_00152,CB_00152,BR_00073,CR_YT_202,4.3,"콘텐츠 퀄리티 준수, 소통 원활",2024-09-20
RT_00153,CB_00153,BR_00060,CR_TK_157,5.0,"브랜드 톤 완벽 일치, 콘텐츠 퀄리티 탁월",2025-12-05
RT_00154,CB_00154,BR_00014,CR_YT_003,5.0,"전환율 기대 이상, 강력 추천",2025-01-28
RT_00155,CB_00155,BR_00068,CR_YT_264,5.0,"브랜드 톤 완벽 일치, 콘텐츠 퀄리티 탁월",2024-08-16
RT_00156,CB_00156,BR_00029,CR_YT_241,4.0,"전반적 만족, 일정 준수 양호",2025-03-20
