Brand_ID,Brand_Name,Brand_Industry,Rank,Creator_ID,Channel_Name,Category,Platform,Followers,Engagement_Rate,category_score,context_score,cf_score,matching_score,recommendation_grade,Risk_Score
BR_00001,(주)헬스케어푸드001,헬스케어,1,CR_TK_107,뷰티챌린저107,피트니스,TikTok,3947,8.24,1.0,0.75,1.0,0.925,A,4.4
BR_00001,(주)헬스케어푸드001,헬스케어,2,CR_YT_015,홈쿡015,피트니스,YouTube,299448,5.35,1.0,0.75,0.0,0.875,B,4.2
BR_00001,(주)헬스케어푸드001,헬스케어,3,CR_YT_023,댄스스타023,피트니스,YouTube,44335,6.84,1.0,0.75,0.0,0.875,B,3.3
BR_00002,글로벌패션코스메틱002,패션,1,CR_YT_007,댄스스타007,패션,YouTube,688637,10.82,1.0,1.0,0.0,1.0,A,4.7
BR_00002,글로벌패션코스메틱002,패션,2,CR_YT_041,홈쿡041,패션,YouTube,50888,5.06,1.0,1.0,0.0,1.0,A,3.8
BR_00002,글로벌패션코스메틱002,패션,3,CR_YT_047,패션피플047,패션,YouTube,301939,11.44,1.0,1.0,0.0,1.0,A,3.9
BR_00003,글로벌교육코퍼레이션003,교육,1,CR_YT_078,라이프브이로거078,교육,YouTube,2113032,6.55,1.0,1.0,0.0,1.0,A,5.0
BR_00003,글로벌교육코퍼레이션003,교육,2,CR_YT_093,맛집탐방가093,교육,YouTube,757685,1.29,1.0,1.0,0.0,1.0,A,3.9
BR_00003,글로벌교육코퍼레이션003,교육,3,CR_YT_117,언박서117,교육,YouTube,82305,1.26,1.0,1.0,0.0,1.0,A,3.9
BR_00006,퓨어뷰티코스메틱006,뷰티,1,CR_YT_020,IT리뷰어020,뷰티,YouTube,83792,6.68,1.0,1.0,0.0,1.0,A,5.0
BR_00006,퓨어뷰티코스메틱006,뷰티,2,CR_YT_042,언박서042,뷰티,YouTube,96706,7.95,1.0,1.0,0.0,1.0,A,4.2
BR_00006,퓨어뷰티코스메틱006,뷰티,3,CR_YT_130,홈투어130,뷰티,YouTube,78712,2.2,1.0,1.0,0.0,1.0,A,4.7
BR_00007,㈜생활용품웨어007,생활용품,1,CR_YT_031,뷰티랩031,라이프스타일,YouTube,32241,6.43,1.0,1.0,0.0,1.0,A,5.0
BR_00007,㈜생활용품웨어007,생활용품,2,CR_YT_040,여행러040,라이프스타일,YouTube,3496,8.2,1.0,1.0,0.0,1.0,A,5.0
BR_00007,㈜생활용품웨어007,생활용품,3,CR_YT_048,교육튜터048,라이프스타일,YouTube,288158,1.96,1.0,1.0,0.0,1.0,A,3.8
